Gene_type, Gene_name,dNdS,Statistical_Significance,Background_Foreground
Epipelagic,RDH8,0.48,Yes,Background
Epipelagic,RDH8,1.467,Yes,Foreground
Epipelagic,RDH12,0.48,Yes,Background
Epipelagic,RDH12,0.33,Yes,Foreground
Epipelagic,RGR,0.48,Yes,Background
Epipelagic,RGR,1.18,Yes,Foreground
Epipelagic,RHO,0.46123,Yes,Background
Epipelagic,RHO,1.62456,Yes,Foreground
Mesopelagic,RDH8,0.48,Yes,Background
Mesopelagic,RDH8,3.519,Yes,Foreground
Mesopelagic,RDH12,0.48,Yes,Background
Mesopelagic,RDH12,0,Yes,Foreground
Mesopelagic,RGR,0.48,Yes,Background
Mesopelagic,RGR,0,Yes,Foreground
Mesopelagic,RHO,0.46123,Yes,Background
Mesopelagic,RHO,0.30073,Yes,Foreground
Bathypelagic,RDH8,0.48,Yes,Background
Bathypelagic,RDH8,1.004,Yes,Foreground
Bathypelagic,RDH12,0.48,Yes,Background
Bathypelagic,RDH12,2.58,Yes,Foreground
Bathypelagic,RGR,0.48,Yes,Background
Bathypelagic,RGR,2.33,Yes,Foreground
Bathypelagic,RHO,0.46123,Yes,Background
Bathypelagic,RHO,2.53449,Yes,Foreground
