Gene_type,Gene_name,dNdS,Statistical_Significance,Background_Foreground
na,CNGA1,1.46513606,Yes,Background
na,CNGA1,1.28322446,Yes,Foreground
na,CNGA2,1.564950222,No,Background
na,CNGA2,1.123477673,No,Foreground
na,CNGA4,1.52781307,Yes,Background
na,CNGA4,1.326460264,Yes,Foreground
na,CNGA7,1.921234478,No,Background
na,CNGA7,1.878648605,No,Foreground
na,CNGA8,1.667011355,Yes,Background
na,CNGA8,1.581276978,Yes,Foreground
na,CNGA12,1.303689849,Yes,Background
na,CNGA12,1.386790221,Yes,Foreground
na,CNGA19,1.256240995,No,Background
na,CNGA19,1.698051601,No,Foreground
na,CNGA20,1.735569849,Yes,Background
na,CNGA20,1.831562622,Yes,Foreground
na,CNGA11,1.149149287,No,Background
na,CNGA11,1.437644176,No,Foreground
