Hum_Ctl,,Bov_Ctl,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.01666666754,-0.04447770119,0.08166667074,-0.01083135605,
0.2666666806,-0.02145862579,0.3325625062,-0.03335523605,
0.5166666508,-0.02858996391,0.5833958387,-0.01941251755,
0.7666666508,-0.02535414696,0.8317916989,-0.04316616058,
1.016666651,-0.0465092659,1.082624912,-0.03115129471,
1.266666651,-0.05390095711,1.331812501,0.00788974762,
1.516666651,-0.01955986023,1.582624912,0.02494716644,
1.766666651,-0.003030538559,1.833458304,-0.04421615601,
2.016666651,-0.01493930817,2.082624912,-0.04353713989,
2.266666651,-0.008245706558,2.331791639,-0.005321502686,
2.516666651,-0.01942372322,2.581791639,-0.01959705353,
2.766666651,-0.03548240662,2.832645893,-0.006678104401,
3.016666651,-0.03805494308,3.082625151,-0.02788257599,
3.266666651,-0.001815795898,3.332625151,0.0003213882446,
3.516666651,-0.007693529129,3.58181262,0.001710891724,
3.766666651,-0.003313302994,3.83181262,-0.006154537201,
4.016666889,0.00448012352,4.083458424,-0.01779651642,
4.266666889,0.02642846107,4.332624912,-0.04017829895,
4.516666889,0.02304053307,4.581812382,-0.03033733368,
4.766666889,-0.001463890076,4.832624912,-0.02328205109,
5.016666889,0.002877473831,5.081812382,0.0006241798401,
6.080958366,0.5351853371,6.145958424,0.318259716,
6.330958366,0.7565236092,6.397625446,0.4751014709,
6.580958366,0.9062376022,6.648458481,0.6305112839,
6.830958366,1.067496777,6.896812439,0.7216739655,
7.080958366,1.15653801,7.145958424,0.8234429359,
7.330958366,1.313703537,7.396812439,0.9430847168,
7.580958366,1.384901047,7.647625446,0.9671545029,
7.830958366,1.519321918,7.898478985,1.081584454,
8.080958366,1.602823257,8.146812439,1.148705482,
8.330958366,1.662115574,8.395978928,1.251761436,
8.580958366,1.748818398,8.646813393,1.275210381,
8.830958366,1.891665936,8.8959589,1.42400074,
9.080958366,1.956325054,9.146813393,1.464832306,
9.330958366,2.056086063,9.396813393,1.515964508,
9.580958366,2.133232594,9.645978928,1.58176136,
9.830958366,2.206370354,9.896813393,1.62887001,
10.08095837,2.291950226,10.14597893,1.730544567,
10.33095837,2.389435768,10.39681339,1.76820755,
10.58095837,2.451298714,10.64681339,1.814896584,
10.83095837,2.517974377,10.89597893,1.917271137,
11.08095837,2.65199852,11.14847946,1.966804028,
11.33095837,2.69165802,11.39681339,2.034295082,
11.58095837,2.792048931,11.64597893,2.048737049,
11.83095837,2.877616882,11.89597893,2.114636421,
12.08095837,2.925979614,12.14681339,2.183849335,
12.33095837,3.008832932,12.39764595,2.273761749,
12.58095837,3.062169552,12.64597893,2.319236279,
12.83095837,3.137663364,12.89681339,2.378565788,
13.08095837,3.183407307,13.14764595,2.398589611,
13.33095837,3.313727856,13.39597893,2.508356094,
