WT_Time,WT_Int,WT_CF_Time,WT_CF_Int,Fx_Time,Fx_Int,Fx_CF_Time,Fx_CF_Int,L76P_Time,L76P_Int,L76P_CF_Time,L76P_CF_Int,F313L_Time,F313L_Int,F313L_CF_Time,F313L_CF_Int
-4.999249965,0,0,-0.09,-5.000145897,0,0,-0.0479,-5.25,0,0,-0.0257,-5.0001,0,0,-0.0444
-4.500062465,-0.003349041,0.2295,-0.0759,-4.500916719,-0.010905806,0.1949,-0.026,-5,-0.014,0.1742,-0.0105,-4.7484,-1.15E-02,0.1899,-0.0309
-3.998375058,0.001812105,0.4591,-0.062,-4.000916719,-0.00521079,0.3897,-4.58E-03,-4.75,-0.0148,0.3485,4.49E-03,-4.5,-1.55E-02,0.3797,-0.0176
-3.499208331,-0.000343892,0.6886,-0.0482,-3.500854254,-0.00128658,0.5846,0.0164,-4.5,-6.21E-03,0.5227,0.0192,-4.25,-2.94E-02,0.5696,-4.49E-03
-2.997541666,-0.000517259,0.9182,-0.0345,-3,-0.01507725,0.7795,0.037,-4.25,-0.0298,0.697,0.0338,-4,-2.03E-02,0.7595,8.48E-03
-2.500041485,-0.001272655,1.1477,-0.0211,-2.5,-0.001646485,0.9743,0.0571,-4,-0.0437,0.8712,0.0481,-3.75,-1.85E-02,0.9493,0.0213
-1.99920845,-0.002027982,1.3772,-7.80E-03,-2.000854254,-0.025255815,1.1692,0.0768,-3.75,-0.0402,1.0454,0.0622,-3.4992,-1.27E-02,1.1392,0.0339
-1.49920845,-0.002081448,1.6068,5.33E-03,-1.500854254,-0.008191857,1.3641,0.0961,-3.5,-0.0124,1.2197,0.0761,-3.25,-1.09E-02,1.3291,0.0464
-0.999166488,-0.005475634,1.8363,0.0183,-1,0.006450374,1.5589,0.115,-3.25,-0.019,1.3939,0.0897,-3.0009,-0.013,1.5189,5.87E-02
-0.497500419,-0.000949082,2.0659,0.0311,-0.500833511,-0.017396348,1.7538,0.1334,-3,-3.10E-03,1.5682,0.1032,-2.75,-2.15E-02,1.7088,0.0709
0,0.001425288,2.2954,0.0438,0,-0.019972119,1.9487,0.1515,-2.75,-0.0178,1.7424,0.1164,-2.5009,-1.06E-02,1.8986,0.0829
2.958416462,0.046986085,2.5249,0.0563,2.082479,0.099319735,2.1435,0.1692,-2.5,-0.014,1.9166,0.1295,-2.25,-0.0189,2.0885,0.0947
3.263416767,0.079690238,2.7545,0.0686,2.387478829,0.166559519,2.3384,0.1866,-2.25,-9.48E-03,2.0909,0.1423,-1.9984,0.0112,2.2784,0.1064
3.760917187,0.115455157,2.984,0.0808,2.887499809,0.240780898,2.5333,0.2035,-2,-0.0102,2.2651,0.155,-1.7492,-0.0134,2.4682,0.118
4.263416767,0.147098996,3.2136,0.0928,3.387499333,0.2986513,2.7281,0.2201,-1.75,-0.0326,2.4394,0.1675,-1.4975,-0.0154,2.6581,0.1294
4.762583256,0.168343568,3.4431,0.1047,3.88664484,0.3296905,2.923,0.2364,-1.5,-0.0309,2.6136,0.1797,-1.25,-0.0268,2.848,0.1406
5.261749747,0.191848989,3.6727,0.1165,4.38664484,0.362212299,3.1179,0.2523,-1.25,-1.55E-04,2.7878,0.1918,-1.0009,-0.0182,3.0378,0.1517
5.760917187,0.211968615,3.9022,0.1281,4.887499333,0.400905908,3.3127,0.2679,-1,-0.0177,2.9621,0.2037,-0.7492,-0.0227,3.2277,0.1627
6.261749747,0.230323917,4.1317,0.1396,5.387499337,0.434721117,3.5076,0.2831,-0.75,-0.0432,3.1363,0.2155,-0.5,-6.42E-03,3.4176,0.1735
6.761770727,0.256510221,4.3613,0.1509,5.886833667,0.455779177,3.7025,0.2981,-0.5,-0.0153,3.3106,0.227,-0.2492,-6.43E-03,3.6074,0.1842
7.263416767,0.278471078,4.5908,0.1621,6.386833667,0.479768496,3.8973,0.3127,-0.25,-6.66E-03,3.4848,0.2384,0,-0.0202,3.7973,0.1948
