gene_name,QC/EX light/dark,value
JL701 pRS316 QC,Light,65.16666666666667
JL701 pRS316 QC,Dark,62.53333333333334
JL701 pRS316 EX,Light,185.66666666666666
JL701 pRS316 EX,Dark,165.18333333333334
SC022 pRS316 QC,Light,51.199999999999996
SC022 pRS316 QC,Dark,58.86666666666667
SC022 pRS316 EX,Light,101.39999999999999
SC022 pRS316 EX,Dark,98.16666666666667
SC023 pRS316 QC,Light,42.13333333333333
SC023 pRS316 QC,Dark,63.833333333333336
SC023 pRS316 EX,Light,94.60000000000001
SC023 pRS316 EX,Dark,96.89999999999999
SC024 pRS316 QC,Light,36.693333333333335
SC024 pRS316 QC,Dark,54.800000000000004
SC024 pRS316 EX,Light,108.53333333333335
SC024 pRS316 EX,Dark,91.46666666666665
SC025 pRS316 QC,Light,98.93333333333334
SC025 pRS316 QC,Dark,108.46666666666665
SC025 pRS316 EX,Light,110.26666666666667
SC025 pRS316 EX,Dark,99.66666666666667
SC026 pRS316 QC,Light,72.83333333333333
SC026 pRS316 QC,Dark,66.60000000000001
SC026 pRS316 EX,Light,92.13333333333333
SC026 pRS316 EX,Dark,80.06666666666666
SC027 pRS316 QC,Light,59.43333333333334
SC027 pRS316 QC,Dark,52.23333333333333
SC027 pRS316 EX,Light,108.23333333333333
SC027 pRS316 EX,Dark,117.66666666666667
SC028 pRS316 QC,Light,61.5
SC028 pRS316 QC,Dark,58.166666666666664
SC028 pRS316 EX,Light,110.26666666666667
SC028 pRS316 EX,Dark,129.33333333333334
SC029 pRS316 QC,Light,67.10000000000001
SC029 pRS316 QC,Dark,54.833333333333336
SC029 pRS316 EX,Light,127.7
SC029 pRS316 EX,Dark,126.33333333333333
SC030 pRS316 QC,Light,76.60000000000001
SC030 pRS316 QC,Dark,34.6
SC030 pRS316 EX,Light,92.65333333333332
SC030 pRS316 EX,Dark,99.86666666666667
SC031 pRS316 QC,Light,97.0
SC031 pRS316 QC,Dark,66.83333333333333
SC031 pRS316 EX,Light,83.3
SC031 pRS316 EX,Dark,104.63333333333333
